
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  16004 Services                   0      1,228 K
TrustedInstaller.exe          6816 Services                   0      5,648 K
TiWorker.exe                 19472 Services                   0     11,580 K
fodhelper.exe                21720 Services                   0      2,508 K
hptpsmarthealth.exe          20848 Services                   0     18,728 K
svchost.exe                   9576 Services                   0      6,084 K
svchost.exe                  15812 Console                    1      3,432 K
LanWlanWwanSwitchingServi    26540 Services                   0      6,248 K
HotKeyServiceUWP.exe         13216 Services                   0      8,336 K
Teams.exe                    15992 Console                    1         24 K
svchost.exe                   7012 Services                   0      1,976 K
explorer.exe                  6684 Console                    1    264,020 K
SearchApp.exe                11160 Console                    1     15,368 K
StartMenuExperienceHost.e    18936 Console                    1     29,112 K
ShellExperienceHost.exe      24056 Console                    1     43,168 K
TextInputHost.exe             2332 Console                    1     24,476 K
UserOOBEBroker.exe           11596 Console                    1      5,188 K
LockApp.exe                   8912 Console                    1     25,024 K
RuntimeBroker.exe            25068 Console                    1     16,428 K
RuntimeBroker.exe            30696 Console                    1     26,992 K
dllhost.exe                  10872 Console                    1      5,572 K
rundll32.exe                 18944 Console                    1      2,752 K
SecurityUpdateService.exe    11924 Services                   0     10,132 K
HP.ClientSecurityManager.    29476 Console                    1     25,724 K
BrAxService.exe              31100 Services                   0      1,816 K
svchost.exe                  21516 Services                   0      4,920 K
RtkAudUService64.exe          6796 Services                   0      8,952 K
SearchApp.exe                 3560 Console                    1     10,396 K
GoogleCrashHandler.exe       14964 Services                   0        284 K
GoogleCrashHandler64.exe      2456 Services                   0        236 K
SysInfoCap.exe               30768 Services                   0     13,936 K
NetworkCap.exe               27836 Services                   0      7,740 K
DiagsCap.exe                 11988 Services                   0      4,840 K
svchost.exe                  27376 Services                   0      2,184 K
dasHost.exe                  29208 Services                   0      2,356 K
HPAudioSwitch.exe             2128 Console                    1      2,584 K
AppHelperCap.exe             22912 Services                   0     11,720 K
svchost.exe                  16380 Services                   0      4,244 K
cmd.exe                      34284 Console                    1      1,908 K
conhost.exe                  12024 Console                    1      3,940 K
BrHostHelper.exe             31260 Console                    1      2,692 K
OneDrive.exe                 33708 Console                    1      9,892 K
